Scotland's Census 2011 - National Records of Scotland,,,,
Table DC1117SC - Age by sex,,,,
All people,,,,
,,,,
,,All people,Males,Females
Forth Valley,49,"4,552","2,197","2,355"
Forth Valley,50,"4,528","2,252","2,276"
Forth Valley,51,"4,254","2,130","2,124"
Forth Valley,52,"4,230","2,096","2,134"
Forth Valley,53,"4,092","2,032","2,060"
Forth Valley,54,"3,950","1,960","1,990"
Forth Valley,55,"3,749","1,823","1,926"
Forth Valley,56,"3,664","1,739","1,925"
Forth Valley,57,"3,630","1,751","1,879"
Forth Valley,58,"3,572","1,805","1,767"
Forth Valley,59,"3,587","1,734","1,853"
Forth Valley,60,"3,712","1,769","1,943"
Forth Valley,61,"3,796","1,856","1,940"
Forth Valley,62,"3,748","1,864","1,884"
Forth Valley,63,"4,012","1,968","2,044"
Forth Valley,64,"4,163","2,034","2,129"
Forth Valley,65,"2,985","1,480","1,505"
Forth Valley,66,"3,149","1,494","1,655"
Forth Valley,67,"3,144","1,533","1,611"
Forth Valley,68,"2,941","1,355","1,586"
Forth Valley,69,"2,703","1,231","1,472"
Forth Valley,70,"2,516","1,163","1,353"
Forth Valley,71,"2,579","1,182","1,397"
Forth Valley,72,"2,587","1,183","1,404"
Forth Valley,73,"2,450","1,121","1,329"
Forth Valley,74,"2,408","1,111","1,297"
Forth Valley,75,"2,189",947,"1,242"
Forth Valley,76,"2,081",954,"1,127"
Forth Valley,77,"1,889",870,"1,019"
Forth Valley,78,"1,798",799,999
Forth Valley,79,"1,689",683,"1,006"
Forth Valley,80,"1,594",685,909
Forth Valley,81,"1,439",560,879
Forth Valley,82,"1,336",525,811
Forth Valley,83,"1,097",455,642
Forth Valley,84,"1,026",410,616
Forth Valley,85 to 89,"3,703","1,223","2,480"
Forth Valley,90 to 94,"1,380",384,996
Forth Valley,95 and over,360,78,282
Grampian,All people,"569,061","281,332","287,729"
Grampian,Under 1,"6,336","3,216","3,120"
Grampian,1,"6,728","3,491","3,237"
Grampian,2,"6,396","3,253","3,143"
Grampian,3,"6,322","3,281","3,041"
Grampian,4,"6,114","3,075","3,039"
Grampian,5,"5,765","2,961","2,804"
Grampian,6,"5,747","2,926","2,821"
Grampian,7,"5,503","2,805","2,698"
Grampian,8,"5,590","2,881","2,709"
Grampian,9,"5,462","2,821","2,641"
Grampian,10,"5,591","2,910","2,681"
Grampian,11,"6,052","3,149","2,903"
Grampian,12,"6,026","3,086","2,940"
Grampian,13,"6,262","3,262","3,000"
Grampian,14,"6,254","3,288","2,966"
Grampian,15,"6,420","3,363","3,057"
Grampian,16,"6,749","3,438","3,311"
Grampian,17,"6,847","3,530","3,317"
Grampian,18,"7,535","3,663","3,872"
Grampian,19,"8,351","4,162","4,189"
Grampian,20,"8,528","4,364","4,164"
Grampian,21,"8,269","4,128","4,141"
Grampian,22,"8,148","4,188","3,960"
Grampian,23,"8,272","4,220","4,052"
Grampian,24,"8,155","4,164","3,991"
Grampian,25,"8,118","4,064","4,054"
Grampian,26,"7,999","3,944","4,055"
Grampian,27,"7,831","3,934","3,897"
Grampian,28,"7,807","3,905","3,902"
Grampian,29,"7,981","3,990","3,991"
Grampian,30,"7,802","4,005","3,797"
Grampian,31,"7,691","3,959","3,732"
Grampian,32,"7,196","3,733","3,463"
Grampian,33,"6,950","3,511","3,439"
Grampian,34,"7,021","3,604","3,417"
Grampian,35,"7,162","3,633","3,529"
Grampian,36,"7,135","3,567","3,568"
Grampian,37,"7,540","3,880","3,660"
Grampian,38,"7,793","3,900","3,893"
Grampian,39,"8,276","4,094","4,182"
Grampian,40,"8,400","4,103","4,297"
Grampian,41,"8,035","3,960","4,075"
Grampian,42,"8,534","4,243","4,291"
Grampian,43,"8,431","4,268","4,163"
Grampian,44,"8,530","4,219","4,311"
Grampian,45,"8,571","4,155","4,416"
Grampian,46,"8,751","4,304","4,447"
Grampian,47,"8,860","4,326","4,534"
Grampian,48,"8,712","4,354","4,358"
Grampian,49,"8,394","4,171","4,223"
Grampian,50,"8,137","4,071","4,066"
Grampian,51,"7,898","3,952","3,946"
Grampian,52,"7,982","4,004","3,978"
Grampian,53,"7,891","3,997","3,894"
Grampian,54,"7,747","3,885","3,862"
Grampian,55,"7,586","3,782","3,804"
Grampian,56,"7,428","3,731","3,697"
Grampian,57,"7,249","3,679","3,570"
Grampian,58,"6,917","3,469","3,448"
Grampian,59,"7,003","3,491","3,512"
Grampian,60,"6,922","3,522","3,400"
Grampian,61,"6,981","3,467","3,514"
Grampian,62,"7,200","3,697","3,503"
Grampian,63,"7,585","3,810","3,775"
Grampian,64,"7,677","3,771","3,906"
Grampian,65,"5,468","2,695","2,773"
Grampian,66,"5,480","2,612","2,868"
Grampian,67,"5,243","2,579","2,664"
Grampian,68,"5,227","2,508","2,719"
Grampian,69,"4,828","2,271","2,557"
Grampian,70,"4,468","2,098","2,370"
Grampian,71,"4,709","2,228","2,481"
Grampian,72,"4,427","2,063","2,364"
Grampian,73,"4,263","2,078","2,185"
Grampian,74,"4,081","1,855","2,226"
Grampian,75,"3,960","1,795","2,165"
Grampian,76,"3,796","1,689","2,107"
Grampian,77,"3,628","1,632","1,996"
Grampian,78,"3,370","1,442","1,928"
Grampian,79,"3,222","1,369","1,853"
Grampian,80,"3,071","1,268","1,803"
Grampian,81,"2,712","1,088","1,624"
Grampian,82,"2,574","1,026","1,548"
Grampian,83,"2,337",886,"1,451"
Grampian,84,"2,096",797,"1,299"
Grampian,85 to 89,"7,409","2,604","4,805"
Grampian,90 to 94,"2,807",830,"1,977"
Grampian,95 and over,740,140,600
Greater Glasgow & Clyde,All people,"1,213,408","583,126","630,282"
Greater Glasgow & Clyde,Under 1,"13,847","7,104","6,743"
Greater Glasgow & Clyde,1,"13,624","6,907","6,717"
Greater Glasgow & Clyde,2,"13,344","6,866","6,478"
Greater Glasgow & Clyde,3,"13,404","6,864","6,540"
Greater Glasgow & Clyde,4,"12,709","6,420","6,289"
Greater Glasgow & Clyde,5,"12,428","6,387","6,041"
Greater Glasgow & Clyde,6,"12,520","6,393","6,127"
Greater Glasgow & Clyde,7,"11,958","6,159","5,799"
